School,ID,Diploma_Honors_EC,Diploma_Core40_EC,Diploma_General_EC,Waiver_Yes_EC,Waiver_No_EC,AP_Passed_EC,AP_NotPassed_EC,AP_NotTaken_EC,DualCredit_Yes_EC,DualCredit_No_EC,21Century_Yes_EC,21Century_No_EC,LunchFR_Yes_EC,LunchFR_No_EC,Race_White_EC,Race_Black_EC,Race_Hispanic_EC,Race_Asian_EC,Race_Other_EC
GreenwoodCommunityHighSchool,3473,83,57,4,***,***,***,***,142,120,24,16,128,30,114,127,***,***,***,***
GriffithSeniorHighSchool,4173,44,57,4,3,102,21,25,59,71,34,20,85,42,63,62,17,21,***,***
GuerinCatholicHighSchool,B249,142,33,--,--,175,***,--,***,--,175,***,***,--,175,161,***,***,***,***
HagerstownJrSrHighSchool,8985,***,25,***,***,***,***,***,29,36,14,13,37,18,32,48,***,***,--,***
HamiltonHeightsHighSchool,2477,61,57,3,***,***,26,17,78,84,37,10,111,21,100,120,--,***,***,***
HamiltonSoutheasternHighSchool,2499,345,233,26,9,595,282,158,164,231,373,24,580,43,561,489,43,22,31,19
HammondAcademyofScienceTechnology,4486,19,32,--,***,***,--,***,***,34,17,8,43,23,28,***,11,30,***,***
HammondHighSchool,4415,10,31,2,3,40,***,***,16,11,32,12,31,34,9,***,24,16,--,***
HanoverCentralHighSchool,3785,***,59,***,***,***,18,40,60,91,27,***,***,13,105,95,***,15,***,***
HauserJrSrHighSchool,0410,24,10,1,***,***,--,--,35,***,***,11,24,***,***,34,--,***,***,***
HebronHighSchool,6813,***,28,***,***,***,9,11,27,29,18,***,***,7,40,38,***,8,--,***
HenryvilleJrSrHighSchool,0765,***,12,***,***,***,***,***,23,36,4,10,30,4,36,39,***,***,--,--
HeritageChristianSchool,C275,64,***,***,***,***,--,--,106,--,106,--,106,--,106,99,***,***,***,***
HeritageHallChristianSchool,A746,***,***,--,--,12,--,--,12,***,***,***,***,--,12,12,--,--,--,--
HeritageHillsHighSchool,7759,46,47,4,***,***,16,12,69,84,13,18,79,12,85,89,--,***,--,***
HeritageJrSrHighSchool,0081,43,40,3,5,81,***,***,66,48,38,16,70,30,56,66,8,***,8,***
HerronHighSchool,5724,87,***,***,***,***,66,40,23,57,72,21,108,41,88,86,29,***,***,***
HighlandHighSchool,4281,81,102,9,***,***,49,42,101,115,77,15,177,41,151,133,9,42,***,***
HobartHighSchool,4305,68,77,12,9,148,28,64,65,117,40,37,120,49,108,102,10,38,***,***
HolyCrossSchool,D725,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
HomesteadSeniorHighSchool,0047,245,144,36,6,419,189,70,166,309,116,32,393,28,397,358,17,16,23,11
HoosierAcademyIndianapolis,2527,***,***,***,***,***,***,***,4,--,6,--,6,--,6,4,***,--,--,***
HoosierAcademyVirtualCharterSchool,5290,***,36,***,6,34,***,***,32,***,***,***,***,***,***,31,***,***,***,***
HopeAcademy,5292,--,***,***,--,6,--,***,***,--,6,--,6,***,***,4,--,***,--,***
HorizonChristianAcademy,A309,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
HorizonChristianSchool,C282,***,13,***,***,***,***,--,***,10,13,***,***,--,23,19,***,***,--,***
HoweSchool,B725,--,12,--,***,***,--,***,***,--,12,--,12,--,12,***,***,***,***,***
HuntingtonNorthHighSchool,3065,93,97,21,1,210,60,42,109,138,73,39,172,53,158,202,--,***,***,5
INAcademyforScienceMathHumanities,1443,128,--,--,--,128,77,15,36,120,8,29,99,22,106,95,***,***,13,***
IndianCreekSrHighSchool,3419,29,52,4,2,83,9,10,66,62,23,14,71,14,71,80,--,***,***,--
IndianaAcademy,B190,--,--,12,***,***,--,--,12,--,12,--,12,--,12,8,***,***,***,--
IndianaChristianAcademy,C175,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
IndianaConnectionsAcademy,7944,23,125,--,11,137,***,***,138,19,129,21,127,36,112,118,***,9,***,7
IndianaCyberCharterSchool,4421,,,,,,,,,,,,,,,,,,,
IndianaMathScienceAcademy,5837,,,,,,,,,,,,,,,,,,,
IndianaSchoolForTheBlind,C460,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
IndianaSchoolForTheDeaf,C695,***,9,***,7,7,***,***,11,***,***,--,14,14,--,12,***,***,--,--
IndianaVirtualSchool,2488,***,***,--,***,***,***,***,9,***,***,***,***,***,***,11,***,--,--,***
IndianapolisLighthouseCharterSchool,5523,***,10,***,***,***,***,***,14,16,7,13,10,14,9,6,13,***,--,***
IndianapolisMetropolitanHighSchool,5664,***,14,***,***,***,--,***,***,8,8,8,8,***,***,***,12,***,--,***
InternationalSchofINHS912,C677,37,--,--,***,***,***,--,***,--,37,***,***,--,37,22,***,***,8,***
IrvingtonCommunitySchool,1537,***,25,***,***,***,12,14,22,28,20,***,***,21,27,38,7,***,--,***
JacCenDelMSHS,7193,***,17,***,***,***,***,***,9,25,8,13,20,7,26,33,--,--,--,--
JamesEDavisSchool,A480,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JasperHighSchool,1593,121,60,4,***,***,78,38,69,103,82,31,154,21,164,172,***,10,***,***
JayCountyHighSchool,3239,61,44,6,3,108,***,***,88,92,19,36,75,32,79,107,--,***,***,***
JeffersonHighSchool,8069,77,103,14,13,181,30,27,137,148,46,59,135,91,103,128,19,36,***,***
JeffersonvilleHighSchool,0849,129,112,13,12,242,87,83,84,201,53,57,197,95,159,182,36,***,***,22
JenningsCountyHighSchool,3345,79,56,15,1,149,21,22,107,149,1,56,94,50,100,141,***,3,--,***
JimtownHighSchool,1701,47,21,2,***,***,***,***,23,60,10,15,55,10,60,59,***,6,***,***
JohnGlennHighSchool,7453,***,43,***,***,***,30,25,35,66,24,29,61,15,75,85,***,***,***,***
JohnMarshallCommunityHighSchool,5494,***,16,***,3,18,***,***,15,4,17,6,15,14,7,***,18,***,--,***
JohnPaulIICatholicHighSch,D722,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
JointServiceCampusProgram,7467,,,,,,,,,,,,,,,,,,,
KankakeeValleyHighSchool,3181,73,63,9,2,143,19,31,95,126,19,25,120,31,114,131,***,10,--,***
KeyLearningCommunityHighSchool,5631,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
KingdomAcademyofBlufftonInc,D875,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
KnightstownHighSchool,2869,***,24,***,***,***,***,***,29,37,12,11,38,8,41,***,--,--,--,***
KnoxCommunityHighSchool,7833,28,26,1,***,***,11,12,32,41,14,23,32,24,31,50,***,***,--,***
KokomoHighSchool,3013,90,101,17,17,191,55,61,92,159,49,78,130,79,129,152,33,3,5,15
KoutsMiddleHighSchool,6833,17,14,4,***,***,9,9,17,27,8,***,***,7,28,27,--,***,***,***
LaCrosseSchool,4692,***,8,***,***,***,--,--,12,6,6,***,***,***,***,11,--,***,--,***
LakeCentralHighSchool,3833,260,287,16,7,556,203,79,281,332,231,31,532,74,489,416,29,72,20,26
LakelandChristianAcademy,B595,***,--,***,***,***,--,--,15,--,15,***,***,--,15,13,***,--,--,***
LakelandHighSchool,3730,27,38,0,0,65,***,***,49,51,14,25,40,20,45,54,--,***,--,***
LanesvilleJrSrHighSchool,2613,21,***,***,--,34,15,9,10,***,***,***,***,***,***,***,--,--,--,***
LapelSrHighSchool,5011,33,32,6,***,***,***,***,47,47,24,11,60,14,57,69,***,--,--,***
LaPorteHighSchool,4741,121,116,11,20,228,46,37,165,180,68,35,213,62,186,199,***,28,***,12
LaVilleJrSrHighSchool,7399,***,26,***,***,***,***,***,43,34,18,9,43,16,36,49,--,***,--,***
LawrenceCentralHighSchool,5275,116,175,27,28,290,89,68,161,148,170,76,242,132,186,131,142,16,***,***
LawrenceNorthHighSchool,5276,179,160,19,14,344,105,104,149,172,186,89,269,123,235,155,132,36,10,25
LawrenceburgHighSchool,1177,55,31,4,***,***,***,***,80,83,7,12,78,16,74,79,***,***,***,***
LebanonSeniorHighSchool,0553,68,50,12,2,128,30,36,64,101,29,13,117,26,104,122,***,4,***,***
LeoJuniorSeniorHighSchool,0049,74,84,11,***,***,40,55,74,77,92,14,155,14,155,151,5,***,***,***
LewWallaceSciTechEngMath,4029,,,,,,,,,,,,,,,,,,,
LewisCassJrSrHighSchool,0689,25,37,2,***,***,16,21,27,44,20,9,55,15,49,59,--,***,***,***
LibertyChristianSchool,C225,15,14,--,--,29,--,***,***,***,***,***,***,--,29,***,***,--,--,--
LighthouseChristianAcademy,C927,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
LincolnHighSchool,3553,45,52,17,6,108,***,***,98,69,45,30,84,45,69,109,***,***,***,***
LincolnSrHighSch,8961,18,14,3,***,***,***,***,14,31,4,14,21,13,22,***,--,***,--,--
LintonStocktonHighSchool,2437,11,26,17,--,54,***,***,41,29,25,***,***,9,45,53,--,***,--,***
LogansportCommunityHighSchool,0701,58,84,6,4,144,22,32,94,122,26,33,115,50,98,98,***,44,***,***
LoogooteeHighSchool,6003,***,36,***,***,***,--,--,64,55,9,22,42,16,48,***,--,--,--,***
LowellSeniorHighSchool,3865,107,82,4,2,191,46,58,89,165,28,16,177,24,169,171,***,17,--,***
LutheranHighSchool,C270,***,29,***,***,***,21,10,29,21,39,***,***,--,60,53,--,***,***,***
MaconaquahHighSchool,6032,26,47,7,5,75,***,***,57,40,40,28,52,25,55,71,***,***,***,***
MadisonConsolidatedHighSchool,3309,79,63,4,3,143,41,29,76,117,29,27,119,37,109,140,***,***,--,***
MadisonGrantHighSchool,2321,35,17,3,***,***,***,***,32,47,8,14,41,16,39,54,--,***,--,***
ManchesterJrSrHighSchool,8625,34,15,11,***,***,17,21,22,45,15,13,47,22,38,56,--,***,--,***
MarianHighSchool,D165,89,66,--,***,***,40,43,72,110,45,17,138,30,125,122,10,15,***,***
MarionHighSchool,2351,66,79,6,9,142,29,36,86,122,29,64,87,68,83,87,30,***,***,22
MarquetteCatholicHighSchool,C125,24,14,--,***,***,***,***,31,26,12,***,***,9,29,27,***,***,***,***
MartinsvilleHighSchool,6329,83,100,4,0,187,74,18,95,136,51,47,140,50,137,175,--,5,***,***
MaterDeiHighSchool,D530,68,***,***,***,***,20,31,49,***,***,***,***,***,***,***,--,--,--,***
McCutcheonHighSchool,8003,118,114,13,12,233,29,51,165,193,52,39,206,50,195,208,***,18,***,8
McLeanEducationCenterAlt,8612,--,***,***,***,***,--,--,7,***,***,***,***,***,***,6,***,--,--,***
MedoraJrSrHighSchool,3093,***,***,2,***,***,--,--,5,4,1,***,***,***,***,***,--,--,--,***
MerrillvilleHighSchool,3809,96,180,23,9,290,44,78,177,135,164,50,249,144,155,42,169,65,***,***
MichiganCityHighSchool,4795,84,106,4,8,186,26,41,127,109,85,37,157,89,105,122,47,13,***,***
MidwestElitePrepAcadInc,B747,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MilanHighSchool,7205,34,16,0,4,46,***,***,10,46,4,10,40,12,38,49,***,***,--,--
MishawakaHighSchool,7461,62,98,6,5,161,23,22,121,115,51,46,120,66,100,151,4,6,--,5
MississinewaHighSchool,2333,48,45,2,6,89,25,38,32,16,79,33,62,35,60,91,***,***,***,***
MitchellHighSchool,4925,34,23,14,3,68,11,25,35,44,27,16,55,13,58,68,--,--,***,***
MonroeCentralJrSrHighSch,7151,19,31,2,***,***,--,***,***,43,9,25,27,22,30,46,***,***,--,***
MonroviaHighSchool,6321,24,24,3,***,***,15,20,16,***,***,***,***,9,42,50,--,***,--,***
MooresvilleHighSchool,6369,87,76,0,1,162,15,23,125,117,46,25,138,27,136,157,***,***,***,***
MorganTownshipMiddleHighSchool,6825,32,17,--,--,49,***,***,34,41,8,***,***,***,***,45,--,***,--,***
MorristownJrSrHighSchool,7661,21,***,***,***,***,***,19,***,***,***,10,18,***,***,***,--,***,--,--
MortonSeniorHighSchool,4417,40,127,4,13,158,29,55,87,38,133,43,128,109,62,***,63,50,--,***
MountVernonHighSchool,6949,43,50,14,4,103,9,23,75,65,42,12,95,18,89,97,***,***,--,7
MtVernonHighSchool,2569,90,84,2,***,***,53,58,65,54,122,18,158,35,141,152,10,***,***,7
MTISchoolofKnowledge,C628,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MuncieCentralHighSchool,1421,72,79,13,9,155,34,66,64,109,55,78,86,81,83,110,29,***,***,18
MuncieSouthsideHighSchool,1424,,,,,,,,,,,,,,,,,,,
MunsterHighSchool,4332,199,117,13,***,***,178,52,99,186,143,***,***,40,289,226,18,47,27,11
NeighborsNewVistasHighSchool,6864,--,7,2,--,9,--,--,9,***,***,***,***,6,3,3,***,2,--,***
NewAlbanySeniorHighSchool,1925,125,115,2,15,227,67,90,85,191,51,53,189,92,150,179,22,***,***,27
NewCastleHighSchool,2825,53,73,8,2,132,37,41,56,73,61,47,87,45,89,120,--,***,--,***
NewHavenHighSchool,0297,53,51,10,7,107,***,***,80,71,43,30,84,40,74,76,23,2,7,6
NewPalestineHighSchool,2565,***,84,***,***,***,44,56,93,146,47,17,176,21,172,187,--,***,***,***
NewPrairieHighSchool,4689,64,70,3,1,136,49,41,47,68,69,22,115,32,105,130,***,***,***,***
NewTechInstitute,8326,***,23,***,***,***,***,--,***,25,8,***,***,15,18,28,***,***,***,***
NewWashingtonMiddleHighSchool,0809,***,16,***,***,***,***,--,***,28,6,5,29,12,22,***,--,***,--,--
NexusAcademyofIndianapolis,5302,***,***,--,***,***,***,***,15,***,***,***,***,7,9,9,***,***,--,***
NoblesvilleHighSchool,2517,242,192,5,8,431,152,45,242,356,83,31,408,57,382,401,12,14,7,5
NorthCentralHighSchool,7917,22,17,6,***,***,***,***,26,38,7,12,33,16,29,***,--,--,--,***
NorthCentralHighSchool,5451,279,224,42,26,519,169,124,252,277,268,92,453,183,362,271,201,35,8,30
NorthDaviessJrSrHighSchool,1121,***,23,***,***,***,--,--,44,***,***,***,***,10,34,***,--,--,--,***
NorthDecaturJrSrHighSchool,1267,***,19,***,2,49,***,***,18,***,***,14,37,10,41,48,--,***,--,***
NorthHarrisonHighSchool,2629,41,39,2,***,***,***,***,51,70,12,18,64,15,67,79,--,***,***,***
NorthHighSchool,8253,112,94,16,6,216,61,51,110,174,48,38,184,54,168,191,11,***,***,10
NorthJudsonSanPierreHighSch,7849,14,32,7,3,50,***,***,48,24,29,16,37,15,38,51,--,***,--,***
NorthKnoxJrSrHighSchool,3537,34,24,10,***,***,***,***,57,48,20,13,55,19,49,67,***,***,--,--
NorthMiamiMiddleHighSchool,6049,18,20,9,***,***,***,***,41,38,9,9,38,11,36,43,--,***,--,***
NorthMontgomeryHighSchool,6271,54,36,3,2,91,20,29,44,75,18,19,74,20,73,89,***,***,--,***
NorthNewtonJrSrHighSch,6411,***,35,***,***,***,***,***,35,40,22,10,52,23,39,55,--,***,--,***
NorthSideHighSchool,0101,***,98,***,8,155,19,61,83,115,48,60,103,107,56,81,43,***,20,***
NorthVermillionHighSchool,8394,12,12,1,4,21,***,***,11,18,7,***,***,5,20,***,--,--,--,***
NorthWoodHighSchool,1737,69,27,2,***,***,13,13,72,83,15,29,69,18,80,87,***,5,***,***
NortheastDuboisHighSchool,1545,32,20,2,***,***,***,***,36,32,22,16,38,5,49,***,--,--,***,--
NortheasternHighSchool,8927,***,35,***,***,***,14,18,38,55,15,19,51,16,54,69,--,***,--,***
NorthfieldJrSrHighSchool,8651,27,23,2,0,52,***,***,23,46,6,12,40,7,45,48,--,***,***,***
NorthridgeHighSchool,1733,88,83,11,***,***,32,9,141,128,54,34,148,27,155,163,***,11,***,5
NorthropHighSchool,0219,97,151,1,9,240,22,32,195,161,88,71,178,99,150,169,40,24,***,***
NorthviewHighSchool,0933,64,74,7,***,***,24,19,102,127,18,39,106,35,110,137,--,***,***,***
NorthwestCommunityHighSchool,5483,***,30,***,3,34,***,***,26,17,20,18,19,25,12,***,21,11,***,***
NorthwesternSeniorHighSchool,2897,72,36,7,***,***,16,40,59,79,36,13,102,15,100,105,***,***,***,***
NorwellHighSchool,9087,49,60,8,4,113,13,16,88,91,26,8,109,12,105,111,--,***,--,***
OakHillHighSchool,6069,38,39,2,--,79,23,21,35,62,17,16,63,10,69,75,***,***,***,***
OaklandHighSchool,8015,--,***,***,***,***,--,--,2,--,2,--,2,***,***,***,***,--,--,--
OldenburgAcademy,D135,30,16,--,--,46,15,12,19,***,***,***,***,***,***,43,--,--,***,***
OptionsCharterSchoolCarmel,2524,--,***,***,***,***,--,--,5,***,***,--,5,***,***,2,***,--,***,***
OptionsCharterSchoolNoblesville,2551,--,6,4,--,10,--,***,***,***,***,***,***,***,***,***,***,--,--,--
OregonDavisJrSrHighSchool,7831,***,6,***,--,18,***,***,5,9,9,6,12,8,10,17,--,***,--,***
OrleansJrSrHighSch,6573,19,16,6,--,41,***,***,39,36,5,15,26,18,23,***,--,***,--,--
OwenValleyCommunityHS,6613,50,39,6,3,92,***,***,88,72,23,18,77,25,70,93,--,***,***,***
PaddockViewResidentialCenter,B167,,,,,,,,,,,,,,,,,,,
PendletonHeightsHighSchool,5053,103,86,28,1,216,48,82,87,123,94,36,181,42,175,204,***,***,***,***
PennHighSchool,7353,352,244,2,23,575,203,97,298,472,126,60,538,93,505,492,38,20,29,19
PerryMeridianHighSchool,5307,137,158,10,23,282,110,89,106,107,198,61,244,117,188,209,24,17,36,19
PeruHighSchool,6085,41,34,1,2,74,***,***,32,64,12,26,50,25,51,67,***,***,--,***
PikeHighSchool,5353,132,252,64,24,424,89,121,238,249,199,,333,245,203,52,292,56,16,32
PinnacleSchool,C899,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PioneerJrSrHighSchool,0645,***,15,***,***,***,***,***,20,28,5,15,18,4,29,***,--,***,--,--
PlainfieldHighSchool,2749,172,87,4,***,***,70,66,127,226,37,45,218,36,227,237,***,7,12,***
PlymouthHighSchool,5945,62,92,13,2,165,77,20,70,118,49,26,141,56,111,137,***,23,***,***
PortageChristianSchool,D080,***,***,***,***,***,--,--,6,--,6,--,6,--,6,5,***,***,--,--
PortageHighSchool,6853,147,183,9,7,332,37,34,268,238,101,74,265,136,203,217,28,65,***,***
PrairieHeightsSrHighSchool,3690,30,21,0,***,***,12,16,23,42,9,10,41,9,42,46,--,***,***,***
PrincetonCommunityHighSchool,2249,32,41,4,***,***,***,***,53,46,31,18,59,11,66,70,***,***,--,***
ProvidenceCristoReyHighSchool,C623,***,***,--,--,26,***,***,23,***,***,19,7,***,***,***,18,***,--,***
RNelsonSniderHighSchool,0102,122,144,1,10,257,87,63,117,126,141,72,195,105,162,173,58,***,***,17
RandolphSouthernJrSrHighSch,7121,***,16,***,***,***,***,***,19,14,13,10,17,9,18,22,--,***,--,***
ReitzMemorialHighSchool,D535,94,***,***,--,143,54,26,63,60,83,***,***,12,131,121,***,***,***,10
RensselaerCentralHighSchool,3201,***,33,***,2,71,***,***,50,64,9,17,56,14,59,68,--,***,--,***
RichmondAcademy,D860,,,,,,,,,,,,,,,,,,,
RichmondHighSchool,8993,64,113,11,8,180,41,29,118,123,65,71,117,109,79,140,19,***,***,18
RileyHighSchool,7513,35,97,3,11,124,***,***,96,74,61,41,94,76,59,68,43,13,***,***
RiseUpAcademyatEggleston,7534,--,6,3,--,9,--,--,9,***,***,***,***,6,3,3,4,***,--,***
RisingSunHighSchool,6513,***,17,***,2,33,***,***,30,20,15,***,***,3,32,***,***,--,--,--
RiverForestHighSchool,3791,***,24,***,***,***,***,***,19,12,18,13,17,18,12,15,***,12,--,***
RivertonParkeJrSrHighSchool,6627,***,18,***,***,***,--,***,***,32,7,20,19,19,20,***,--,--,--,***
RivetMiddleHighSchool,B560,16,***,***,***,***,--,--,19,***,***,***,***,***,***,***,--,--,***,--
RochesterCommunityHighSchool,2173,46,16,2,***,***,***,***,57,61,3,18,46,17,47,61,--,***,--,***
RockCreekCommunityAcademy,0771,11,13,--,***,***,--,--,24,19,5,***,***,***,***,15,***,--,***,***
RockvilleJrSrHighSchool,6637,***,16,***,***,***,***,***,14,26,10,13,23,11,25,32,--,***,--,***
RoncalliHighSchool,C320,159,101,--,***,***,118,44,98,184,76,20,240,34,226,238,***,11,***,***
RossvilleMiddleSeniorHighSchool,1021,***,22,***,***,***,21,18,11,17,33,***,***,***,***,49,***,***,--,***
SaintJosephHighSchool,D225,83,91,--,***,***,57,39,78,--,174,***,***,17,157,121,***,22,13,***
SalemHighSchool,8857,44,26,1,3,68,10,12,49,59,12,23,48,21,50,68,***,***,***,***
ScottsburgSeniorHighSchool,7641,43,39,9,2,89,***,***,49,72,19,22,69,24,67,89,***,***,***,***
SeegerMemorialJrSrHS,8737,***,30,***,***,***,15,16,31,38,24,10,52,14,48,62,--,--,--,--
SetonCatholicHighSchool,D842,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
SeymourChristianAcademy,B455,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
SeymourSeniorHighSchool,3133,86,56,11,5,148,41,31,81,130,23,40,113,49,104,130,***,11,***,7
ShakamakJrSrHighSchool,2445,15,23,3,***,***,--,***,***,31,10,11,30,15,26,***,--,***,--,--
ShaweMemorialHighSchool,B505,11,***,***,***,***,***,***,6,***,***,***,***,***,***,***,--,***,--,--
ShenandoahHighSchool,2817,***,30,***,***,***,15,11,34,42,18,16,44,18,42,***,***,--,--,--
SheridanHighSchool,2463,24,31,2,***,***,***,***,41,39,18,12,45,11,46,55,--,***,--,***
ShoalsCommJrSrHighSch,5985,8,15,2,***,***,***,***,22,14,11,11,14,9,16,23,--,--,***,***
ShortridgeHighSchool,5485,***,39,***,***,***,***,***,17,6,43,26,23,38,11,***,35,3,***,***
SignatureSchoolInc,8295,***,***,--,--,70,***,***,--,--,70,***,***,***,***,55,***,***,***,***
SilverCreekHighSchool,0777,74,43,11,3,125,9,17,102,110,18,13,115,30,98,122,***,***,***,***
SouthAdamsHighSchool,0023,16,26,4,***,***,18,8,20,36,10,***,***,10,36,43,***,***,***,***
SouthCentralJrSrHighSchool,4737,28,21,3,***,***,***,***,36,44,8,***,***,9,43,47,--,***,***,***
SouthCentralJrSrHighSchool,2670,***,15,***,***,***,--,***,***,18,5,***,***,8,15,20,--,***,--,***
SouthDearbornHighSchool,1179,35,50,11,1,95,***,***,80,75,21,16,80,24,72,93,--,***,--,***
SouthDecaturJrSrHighSchool,1263,18,8,1,***,***,***,***,6,***,***,9,18,12,15,25,***,***,--,***
SouthKnoxMiddleHighSchool,3490,40,13,9,***,***,--,--,62,49,13,11,51,13,49,***,--,--,--,***
SouthNewtonSeniorHighSch,6417,***,19,***,***,***,***,***,16,27,10,12,25,15,22,***,--,***,--,--
SouthPutnamHighSchool,7071,25,30,0,***,***,22,17,16,49,6,15,40,11,44,53,--,***,--,***
SouthRipleyHighSchool,7182,26,14,2,***,***,***,***,36,35,7,14,28,11,31,***,--,--,--,***
SouthSideHighSchool,0105,37,72,10,15,104,11,13,95,49,70,49,70,91,28,32,43,28,9,7
SouthSpencerHighSchool,7795,26,32,5,***,***,12,16,35,31,32,11,52,10,53,61,***,***,--,***
SouthVermillionHighSchool,8432,45,31,1,***,***,***,***,29,64,13,19,58,23,54,73,--,***,--,***
SouthernWellsJrSrHighSch,9058,23,16,3,***,***,***,***,21,33,9,10,32,7,35,40,--,--,***,***
SouthmontSrHighSchool,6257,32,37,1,***,***,17,30,23,37,33,13,57,15,55,67,--,***,--,***
SouthportHighSchool,5309,107,132,8,22,225,68,97,82,116,131,79,168,132,115,154,25,16,40,12
SouthridgeHighSchool,1588,42,28,6,***,***,22,12,42,56,20,13,63,19,57,66,--,10,--,--
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
SouthwesternHighSchool,3337,31,***,***,***,***,19,10,19,37,11,***,***,6,42,***,***,--,--,--
SouthwesternHighSchool,7701,***,7,***,***,***,***,***,4,12,6,***,***,5,13,***,--,***,--,--
SouthwoodJrSrHighSchool,8655,16,33,7,3,53,15,10,31,34,22,11,45,7,49,55,***,***,--,***
