School,ID,Indiana_Public_College,Indiana_Private_College_np,Indiana_Private_College_fp,Out_of_State_Public_College,Out_of_State_Private_College_(non-profit),Out_of_State_Private_College_(for-profit),Non_degree_Granting_School,Did_Not_Enroll_in_College,Year
CrossingEducationalCenter,B009,***,***,***,***,***,***,***,***,2014
CrothersvilleJrSrHighSchool,3121,19,2,0,0,0,0,0,16,2014
CrownPointHighSchool,3901,335,57,0,44,35,4,1,167,2014
CulverCommunityHighSchool,5245,19,6,0,1,0,0,0,24,2014
DalevilleJrSrHighSchool,1401,38,3,0,0,1,0,0,19,2014
DanvilleCommunityHighSchool,2741,90,21,2,7,9,0,0,66,2014
DecaturCentralHighSchool,5177,159,28,3,4,6,0,1,164,2014
DecaturTownshipSchoolforExcellence,5188,6,5,0,0,1,0,0,14,2014
DeKalbHighSchool,1345,119,27,0,8,4,0,0,119,2014
DelphiCommunityHighSchool,0637,64,8,0,0,4,0,0,43,2014
DeltaHighSchool,1369,107,17,0,6,6,0,0,50,2014
DonaldEGavitMiddleHighSchool,4413,67,10,0,7,1,1,0,66,2014
EastCentralHighSchool,7213,128,11,0,78,22,0,0,87,2014
EastChicagoCentralHighSchool,3924,118,12,0,15,3,1,0,78,2014
EastNobleHighSchool,6458,126,39,0,4,9,1,0,134,2014
EastbrookHighSchool,2293,56,19,0,1,3,0,0,47,2014
EasternGreeneHighSchool,2435,57,2,0,2,3,0,0,32,2014
EasternHancockHighSchool,2585,46,5,1,2,4,0,0,27,2014
EasternHighSchool,8905,53,6,0,5,0,0,0,53,2014
EasternHighSchool,2919,69,12,0,0,3,0,0,32,2014
EastsideJuniorSeniorHighSchool,1317,39,8,0,2,2,0,0,60,2014
EdgewoodHighSchool,6146,97,3,0,6,6,0,0,41,2014
EdinburghCommunityHighSchool,3447,27,2,2,0,0,0,0,24,2014
ElkhartCentralHighSchool,1749,145,18,0,20,8,0,1,145,2014
ElkhartChristianAcademy,A990,17,16,0,4,2,0,0,5,2014
ElkhartMemorialHighSchool,1750,130,25,0,18,10,0,0,144,2014
ElwoodJrSrHighSchool,5149,43,6,1,0,0,1,0,47,2014
EmanSchools,B160,***,***,***,***,***,***,***,***,2014
EminenceJrSrHighSchool,6325,11,2,0,1,0,0,0,24,2014
EmmerichManualHighSchool,5481,16,4,1,0,1,0,0,57,2014
EvansvilleDaySchool,D525,2,3,0,2,3,0,0,1,2014
ExcelCenterForAdultLearners,5669,53,3,0,2,0,1,0,145,2014
FairfieldJrSrHighSchool,1613,40,29,0,5,8,0,0,64,2014
FaithChristianSchool,D452,23,2,0,2,8,0,0,10,2014
FallCreekAcademy,5870,***,***,***,***,***,***,***,5,2014
FishersChristianAcademy,B161,***,***,***,***,***,***,***,***,2014
FishersHighSchool,2487,334,43,1,31,29,1,0,92,2014
FloydCentralHighSchool,1930,219,11,0,65,23,3,0,85,2014
ForestParkJrSrHighSchool,1583,72,5,2,5,6,0,0,33,2014
FountainCentralHighSchool,2022,46,4,0,3,3,0,0,45,2014
FrancisJosephReitzHighSchool,8245,171,16,0,25,5,1,1,105,2014
FrankfortSeniorHighSchool,0997,67,14,0,2,2,0,0,103,2014
FranklinCentralHighSchool,5193,289,62,1,13,17,1,1,178,2014
FranklinCommunityHighSchool,3445,143,43,1,11,15,3,1,136,2014
FranklinCountyHighSchool,2083,65,11,0,18,11,0,0,92,2014
FranktonJrSrHighSchool,5005,44,16,1,3,3,0,0,53,2014
FremontHighSchool,7877,33,12,0,8,2,0,0,31,2014
FrontierJrSrHighSchool,9137,25,1,0,3,4,0,0,22,2014
GarrettHighSchool,1325,55,14,1,1,1,0,0,66,2014
GaryLighthouseCharterSchool,4130,38,1,0,7,2,0,2,29,2014
GaryMiddleCollege,4027,***,***,***,***,***,***,***,18,2014
GatewayWoodsSchool,A352,***,***,***,***,***,***,***,***,2014
GeorgeRogersClarkMiddleHighSchool,4411,67,14,0,8,1,1,0,95,2014
GeorgeWashingtonCommunityHighSchool,5643,29,1,2,0,2,1,0,45,2014
GibsonSouthernHighSchool,2211,74,12,2,17,2,0,0,49,2014
GoshenHighSchool,1821,135,41,1,7,8,1,0,160,2014
GrangerChristianSchool,D310,***,***,***,***,***,***,***,4,2014
GreencastleSeniorHighSch,7089,55,12,0,1,9,0,0,43,2014
GreenfieldCentralHighSchool,2595,157,37,0,6,11,1,0,105,2014
GreensburgCommunityHighSchool,1268,50,10,2,6,2,1,0,50,2014
GreenwoodChristianAcademy,C966,21,9,0,1,8,0,0,4,2014
GreenwoodCommunityHighSchool,3473,106,36,1,4,7,1,1,73,2014
GriffithSeniorHighSchool,4173,92,10,2,9,13,1,0,59,2014
GuerinCatholicHighSchool,B249,93,17,0,11,32,0,0,15,2014
HagerstownJrSrHighSchool,8985,35,5,0,0,3,0,0,28,2014
HamiltonCommunityHighSch,7885,13,8,0,1,1,0,1,17,2014
HamiltonHeightsHighSchool,2477,71,21,2,4,4,0,0,49,2014
HamiltonSoutheasternHighSchool,2499,419,68,0,75,41,1,0,95,2014
HammondAcademyofScienceTechnology,4486,41,4,0,0,3,0,1,7,2014
HammondHighSchool,4415,59,8,1,9,1,0,1,79,2014
HanoverCentralHighSchool,3785,72,7,0,6,6,1,1,43,2014
HauserJrSrHighSchool,0410,28,3,1,1,3,0,0,29,2014
HebronHighSchool,6813,41,5,0,1,1,0,0,29,2014
HenryvilleJrSrHighSchool,0765,33,1,0,1,0,0,0,32,2014
HeritageChristianSchool,C275,51,15,0,6,6,0,0,12,2014
HeritageHallChristianSchool,A746,***,***,***,***,***,***,***,***,2014
HeritageHillsHighSchool,7759,75,6,1,10,3,0,0,46,2014
HeritageJrSrHighSchool,0081,59,5,0,0,5,1,1,63,2014
HerronHighSchool,5724,65,22,0,6,20,1,0,29,2014
HighlandHighSchool,4281,159,21,0,11,8,0,0,83,2014
HobartHighSchool,4305,136,11,0,10,6,1,0,110,2014
HolyCrossSchool,D725,***,***,***,***,***,***,***,***,2014
HomesteadSeniorHighSchool,0047,301,36,0,40,22,0,0,116,2014
HoosierAcademyIndianapolis,2527,4,2,0,2,1,1,0,8,2014
HoosierAcademyVirtualCharterSchool,5290,13,1,1,2,2,0,0,26,2014
HopeAcademy,5292,***,***,***,***,***,***,***,12,2014
HorizonChristianAcademy,A309,***,***,***,***,***,***,***,***,2014
HorizonChristianSchool,C282,10,3,0,1,0,0,0,3,2014
HoweSchool,B725,3,2,0,3,2,0,0,6,2014
HuntingtonNorthHighSchool,3065,117,63,0,6,14,1,0,166,2014
INAcademyforScienceMathHumanities,1443,87,20,0,6,15,0,0,9,2014
IndianCreekSrHighSchool,3419,63,9,2,4,5,0,0,54,2014
IndianaAcademy,B190,***,***,***,***,***,***,***,***,2014
IndianaChristianAcademy,C175,***,***,***,***,***,***,***,***,2014
IndianaConnectionsAcademy,7944,74,15,1,6,6,2,0,113,2014
IndianaCyberCharterSchool,4421,***,***,***,***,***,***,***,11,2014
IndianaMathScienceAcademy,5837,13,0,0,2,1,0,0,14,2014
IndianaSchoolForTheBlind,C460,***,***,***,***,***,***,***,***,2014
IndianaSchoolForTheDeaf,C695,***,***,***,***,***,***,***,3,2014
IndianaVirtualSchool,2488,***,***,***,***,***,***,***,9,2014
IndianapolisLighthouseCharterSchool,5523,21,3,0,4,1,0,0,14,2014
IndianapolisMetropolitanHighSchool,5664,28,3,0,1,0,0,0,41,2014
InternationalSchofINHS912,C677,13,0,0,4,3,0,0,8,2014
IrvingtonCommunitySchool,1537,33,2,0,2,0,0,0,23,2014
JacCenDelMSHS,7193,30,6,0,2,2,0,0,32,2014
JamesEDavisSchool,A480,***,***,***,***,***,***,***,***,2014
JasperHighSchool,1593,150,18,0,23,5,1,1,52,2014
JayCountyHighSchool,3239,109,18,0,6,5,2,0,113,2014
JeffersonHighSchool,8069,185,13,4,14,12,1,0,169,2014
